unit_id,competency_id,learning_outcome_id,status
1,1,1.1,modelled
1,1,1.2,modelled
1,1,1.3,modelled
1,1,1.4,modelled
1,1,1.5,modelled
1,1,1.6,modelled
1,1,1.7,modelled
2,2,2.1,modelled
2,2,2.2,modelled
2,2,2.3,modelled
3,3,3.1,modelled
3,3,3.2,modelled
3,3,3.3,modelled
3,3,3.4,modelled
4,4,4.1,modelled
4,4,4.2,modelled
4,4,4.3,modelled
5,5,5.1,modelled
5,5,5.2,modelled
5,5,5.3,modelled
6,6,6.1,modelled
6,6,6.2,modelled
6,6,6.3,modelled
6,6,6.4,modelled
7,7,7.1,modelled
7,7,7.2,modelled
7,7,7.3,modelled
7,7,7.4,modelled
7,7,7.5,modelled
7,7,7.6,modelled
7,7,7.7,modelled
7,7,7.8,modelled
7,7,7.9,modelled
7,7,7.10,modelled
7,7,7.11,modelled
7,7,7.12,modelled
7,7,7.13,modelled
8,8,8.1,modelled
8,8,8.2,modelled
8,8,8.3,modelled
8,8,8.4,modelled
8,8,8.5,modelled
8,8,8.6,modelled
8,8,8.7,modelled
8,8,8.8,modelled
8,8,8.9,modelled
8,8,8.10,modelled
8,8,8.11,modelled
8,8,8.12,modelled
8,8,8.13,modelled
8,8,8.14,modelled
8,8,8.15,modelled
9,9,9.1,modelled
9,9,9.2,modelled
9,9,9.3,modelled
9,9,9.4,modelled
9,9,9.5,modelled
9,9,9.6,modelled
9,9,9.7,modelled
9,9,9.8,modelled
9,9,9.9,modelled
10,10,10.1,modelled
10,10,10.2,modelled
10,10,10.3,modelled
10,10,10.4,modelled
10,10,10.5,modelled
10,10,10.6,modelled
11,11,11.1,modelled
11,11,11.2,modelled
11,11,11.3,modelled
11,11,11.4,modelled
11,11,11.5,modelled
11,11,11.6,modelled
11,11,11.7,modelled
11,11,11.8,modelled
11,11,11.9,modelled
12,12,12.1,modelled
12,12,12.2,modelled
12,12,12.3,modelled
13,13,13.1,modelled
13,13,13.2,modelled
13,13,13.3,modelled
13,13,13.4,modelled
13,13,13.5,modelled
14,14,14.1,modelled
14,14,14.2,modelled
